Fecha,Compra,Venta
30/12/2019,"73,50","78,50"
27/12/2019,"73,50","78,50"
26/12/2019,"75,00","80,00"
23/12/2019,"71,75","76,75"
20/12/2019,"70,00","75,00"
19/12/2019,"72,75","75,75"
18/12/2019,"72,00","76,00"
17/12/2019,"69,00","74,00"
16/12/2019,"68,50","72,50"
13/12/2019,"61,75","66,75"
12/12/2019,"62,50","66,50"
11/12/2019,"64,50","68,50"
10/12/2019,"65,50","69,50"
9/12/2019,"66,00","70,00"
6/12/2019,"68,00","71,00"
5/12/2019,"66,00","70,00"
4/12/2019,"65,00","69,00"
3/12/2019,"64,50","68,50"
2/12/2019,"64,25","68,25"
29/11/2019,"66,25","69,25"
28/11/2019,"66,75","69,75"
27/11/2019,"66,25","69,25"
26/11/2019,"65,25","68,25"
25/11/2019,"65,00","68,00"
22/11/2019,"65,50","68,50"
21/11/2019,"63,75","66,75"
20/11/2019,"63,75","66,75"
19/11/2019,"63,50","66,50"
15/11/2019,"63,75","66,75"
14/11/2019,"63,75","66,75"
13/11/2019,"63,75","66,75"
12/11/2019,"62,50","65,50"
11/11/2019,"61,50","64,50"
8/11/2019,"62,25","65,25"
7/11/2019,"61,00","64,00"
6/11/2019,"62,00","65,00"
5/11/2019,"61,50","64,50"
4/11/2019,"62,50","65,50"
1/11/2019,"64,50","67,50"
31/10/2019,"66,00","69,00"
30/10/2019,"64,00","67,00"
29/10/2019,"64,00","67,00"
28/10/2019,"71,00","74,00"
25/10/2019,"72,75","75,75"
24/10/2019,"66,75","69,75"
23/10/2019,"66,75","69,75"
22/10/2019,"64,25","67,25"
21/10/2019,"63,25","66,25"
18/10/2019,"62,25","65,25"
17/10/2019,"64,50","67,50"
16/10/2019,"62,50","64,50"
15/10/2019,"61,50","63,50"
11/10/2019,"61,50","63,50"
10/10/2019,"61,00","63,00"
9/10/2019,"59,75","61,75"
8/10/2019,"57,50","61,50"
7/10/2019,"58,25","61,25"
4/10/2019,"58,25","61,25"
3/10/2019,"58,00","61,00"
2/10/2019,"58,50","61,50"
1/10/2019,"57,75","60,75"
30/09/2019,"58,25","61,25"
27/09/2019,"58,50","61,50"
26/09/2019,"59,00","62,00"
25/09/2019,"58,75","61,75"
24/09/2019,"58,75","61,75"
23/09/2019,"59,25","62,25"
20/09/2019,"58,75","62,75"
19/09/2019,"60,00","63,00"
18/09/2019,"59,75","62,75"
17/09/2019,"59,00","62,00"
16/09/2019,"58,50","61,50"
13/09/2019,"57,50","61,50"
12/9/2019,"55,00","60,00"
11/9/2019,"55,00","59,00"
10/9/2019,"54,50","58,75"
9/9/2019,"55,00","59,00"
6/9/2019,"55,00","59,00"
5/9/2019,"54,00","59,00"
4/9/2019,"54,00","59,00"
3/9/2019,"57,00","61,00"
2/9/2019,"59,50","63,50"
30/08/2019,"60,00","63,00"
29/08/2019,"57,75","60,75"
28/08/2019,"59,50","60,50"
27/08/2019,"56,00","59,00"
26/08/2019,"54,50","57,50"
23/08/2019,"54,00","58,00"
22/08/2019,"54,00","58,00"
21/08/2019,"54,50","58,50"
20/08/2019,"53,00","58,00"
16/08/2019,"55,00","59,00"
15/08/2019,"55,00","59,00"
14/08/2019,"58,50","62,00"
13/08/2019,"53,00","57,00"
12/8/2019,"53,00","57,00"
9/8/2019,"45,40","46,90"
8/8/2019,"45,22","46,72"
7/8/2019,"45,00","46,50"
6/8/2019,"44,90","46,40"
5/8/2019,"45,10","46,60"
2/8/2019,"44,40","45,90"
1/8/2019,"43,93","45,43"
31/07/2019,"43,70","45,20"
30/07/2019,"43,65","45,15"
29/07/2019,"43,65","45,15"
26/07/2019,"43,45","44,95"
25/07/2019,"43,45","44,95"
24/07/2019,"43,10","44,60"
23/07/2019,"42,75","44,25"
22/07/2019,"42,55","44,05"
19/07/2019,"42,45","43,95"
18/07/2019,"42,45","43,95"
17/07/2019,"42,70","44,20"
16/07/2019,"42,95","44,45"
15/07/2019,"42,25","43,75"
12/7/2019,"41,75","43,25"
11/7/2019,"41,70","43,20"
10/7/2019,"41,30","42,80"
5/7/2019,"41,40","42,90"
4/7/2019,"41,40","42,90"
3/7/2019,"41,55","43,05"
2/7/2019,"42,00","43,50"
1/7/2019,"41,95","43,45"
28/06/2019,"42,30","43,80"
27/06/2019,"42,70","44,20"
26/06/2019,"42,70","44,20"
25/06/2019,"42,60","44,10"
24/06/2019,"42,94","44,44"
21/06/2019,"43,00","44,50"
19/06/2019,"43,40","44,90"
18/06/2019,"43,65","45,15"
14/06/2019,"43,70","45,20"
13/06/2019,"43,80","45,30"
12/6/2019,"43,80","45,30"
11/6/2019,"44,00","45,50"
10/6/2019,"44,00","45,50"
7/6/2019,"44,20","45,70"
6/6/2019,"44,15","45,65"
5/6/2019,"44,10","45,60"
4/6/2019,"44,50","46,00"
3/6/2019,"44,60","46,10"
31/05/2019,"44,50","46,00"
30/05/2019,"44,40","45,90"
29/05/2019,"44,70","46,20"
28/05/2019,"44,70","46,20"
27/05/2019,"44,65","46,15"
24/05/2019,"44,65","46,15"
23/05/2019,"44,70","46,20"
22/05/2019,"44,60","46,10"
21/05/2019,"44,75","46,25"
20/05/2019,"44,85","46,35"
17/05/2019,"44,60","46,10"
16/05/2019,"44,50","46,00"
15/05/2019,"44,50","46,00"
14/05/2019,"44,50","46,00"
13/05/2019,"44,50","46,00"
10/5/2019,"44,50","46,00"
9/5/2019,"45,00","46,00"
8/5/2019,"45,00","46,00"
7/5/2019,"45,00","46,00"
6/5/2019,"45,50","46,50"
3/5/2019,"44,55","45,75"
2/5/2019,"45,25","46,25"
30/04/2019,"45,00","46,00"
29/04/2019,"44,07","45,07"
26/04/2019,"45,10","46,10"
25/04/2019,"45,00","46,00"
24/04/2019,"43,50","44,50"
23/04/2019,"43,15","44,15"
22/04/2019,"43,35","44,35"
17/04/2019,"41,40","43,45"
16/04/2019,"42,80","43,80"
15/04/2019,"42,50","43,50"
12/4/2019,"42,65","43,65"
11/4/2019,"43,00","44,00"
10/4/2019,"43,00","44,00"
9/4/2019,"43,00","44,00"
8/4/2019,"43,00","44,00"
5/4/2019,"43,00","44,00"
4/4/2019,"42,65","43,65"
3/4/2019,"42,50","43,50"
1/4/2019,"42,50","43,50"
29/03/2019,"42,65","43,65"
28/03/2019,"41,80","43,80"
27/03/2019,"43,00","44,00"
26/03/2019,"41,55","42,55"
25/03/2019,"40,90","41,90"
22/03/2019,"39,75","41,75"
21/03/2019,"39,25","41,25"
20/03/2019,"40,25","41,25"
19/03/2019,"40,25","41,25"
18/03/2019,"40,00","41,00"
15/03/2019,"39,00","41,00"
14/03/2019,"40,00","41,00"
13/03/2019,"40,50","41,50"
12/3/2019,"40,25","41,25"
11/3/2019,"40,00","41,00"
8/3/2019,"40,00","41,00"
7/3/2019,"41,50","42,50"
6/3/2019,"38,50","40,50"
1/3/2019,"37,00","39,00"
28/02/2019,"38,00","39,00"
27/02/2019,"38,00","39,00"
26/02/2019,"37,25","39,25"
