date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,28.1,23.1,,,,,,,,
2014-01-02,23,18,33.6,62,,,,,,
2014-01-03,20.3,13.8,28.3,15,,,,,,
2014-01-04,22.3,14.3,,0,,,,,,
2014-01-05,27.3,19.4,,,,,,,,
2014-01-06,29.5,24.2,,,,,,,,
2014-01-07,27.3,,35,,,,,,,
2014-01-08,23.3,17.6,28.5,,,,,,,
2014-01-09,26.2,21.2,,,,,,,,
2014-01-10,27.3,22,32.1,0.3,,,,,,
2014-01-11,22.6,16.5,32.6,0,,,,,,
2014-01-12,19.3,14.3,25.5,,,,,,,
2014-01-13,22.9,18.2,,,,,,,,
2014-01-14,25.2,21.6,,,,,,,,
2014-01-15,27.6,23.2,,,,,,,,
2014-01-16,30.1,25,,,,,,,,
2014-01-17,31,25,34.8,,,,,,,
2014-01-18,32.2,27.4,,,,,,,,
2014-01-19,27.8,21.5,38.4,2,,,,,,
2014-01-20,28.1,25,,0,,,,,,
2014-01-21,26.9,20.9,34.1,32,,,,,,
2014-01-22,26.9,20.9,,7.1,,,,,,
2014-01-23,31.8,26.7,,0,,,,,,
2014-01-24,22.4,16.7,37,50,,,,,,
2014-01-25,18,12,23.6,0,,,,,,
2014-01-26,21.4,17.4,,0,,,,,,
2014-01-27,24.8,21.4,,,,,,,,
2014-01-28,23.9,21.6,29.5,,,,,,,
2014-01-29,24.1,21.4,,37.1,,,,,,
2014-01-30,25.9,22.8,,0,,,,,,
2014-01-31,27.4,22.4,,,,,,,,
2014-02-01,24.1,21,34,0.5,,,,,,
2014-02-02,22.2,20.5,25.2,26.9,,,,,,
2014-02-03,21.6,18.9,25.5,14,,,,,,
2014-02-04,23.4,19.2,,1,,,,,,
2014-02-05,27.4,23.2,,0,,,,,,
2014-02-06,19.3,15.7,25.2,54.1,,,,,,
2014-02-07,22.2,17.4,,41.9,,,,,,
2014-02-08,25.8,21,,53.1,,,,,,
2014-02-09,23.4,20.8,33,29,,,,,,
2014-02-10,23.8,21.2,27.7,0,,,,,,
2014-02-11,22.8,,25.7,1,,,,,,
2014-02-12,23.1,17.9,,30,,,,,,
2014-02-13,22.7,20.1,28.2,0,,,,,,
2014-02-14,20.2,15.5,25,0.8,,,,,,
2014-02-15,20.8,,,0,,,,,,
2014-02-16,22.7,19.5,,,,,,,,
2014-02-17,24.1,21.4,,,,,,,,
2014-02-18,24.4,22.3,28.3,0,,,,,,
2014-02-19,24.6,22,29.4,3,,,,,,
2014-02-20,23.4,20.2,26.9,0,,,,,,
2014-02-21,23.1,19.9,28.1,,,,,,,
2014-02-22,23.4,19.4,29.4,,,,,,,
2014-02-23,23.4,17.5,27.5,,,,,,,
2014-02-24,24.1,18.8,,,,,,,,
2014-02-25,19.2,14.6,30.1,,,,,,,
2014-02-26,17.6,13.8,23,,,,,,,
2014-02-27,18.3,12.4,,,,,,,,
2014-02-28,20.1,14.6,24.8,,,,,,,
2014-03-01,21.3,17.8,24.7,,,,,,,
2014-03-02,20.8,15,25.2,,,,,,,
2014-03-03,21.8,20.1,26.2,,,,,,,
2014-03-04,21.6,18.5,,46,,,,,,
2014-03-05,22.7,18.4,,1,,,,,,
2014-03-06,22.4,19,29.7,0,,,,,,
2014-03-07,20.4,13,,,,,,,,
2014-03-08,22.2,16.1,28.3,,,,,,,
2014-03-09,22.1,18.6,27.5,,,,,,,
2014-03-10,18.4,14.4,26.4,1,,,,,,
2014-03-11,18.9,11,,0,,,,,,
2014-03-12,22.2,15.6,,,,,,,,
2014-03-13,23.5,19,28.9,,,,,,,
2014-03-14,22.2,21.2,28,,,,,,,
2014-03-15,21.6,,,,,,,,,
2014-03-16,22.1,16.3,,,,,,,,
2014-03-17,22.3,18.8,29.7,0,,,,,,
2014-03-18,16.5,11.8,25.6,,,,,,,
2014-03-19,17.2,13.6,21,15,,,,,,
2014-03-20,19.4,16.1,,0,,,,,,
2014-03-21,17.7,13,19.8,3,,,,,,
2014-03-22,14.8,8,,0,,,,,,
2014-03-23,17.2,11.8,,,,,,,,
2014-03-24,19.7,12.8,24.6,,,,,,,
2014-03-25,20.3,15.4,25.2,,,,,,,
2014-03-26,20.7,19,25.5,,,,,,,
2014-03-27,21.6,20.1,,0,,,,,,
2014-03-28,22.4,19,,11.9,,,,,,
2014-03-29,23.8,20,,0,,,,,,
2014-03-30,21.8,,29.2,19.1,,,,,,
2014-03-31,16.4,10.5,22.3,0,,,,,,
2014-04-01,19.1,13.9,,,,,,,,
2014-04-02,20.6,19,23.6,,,,,,,
2014-04-03,22.2,19.9,,,,,,,,
2014-04-04,23.8,20.6,,0.5,,,,,,
2014-04-05,21.7,,27.5,1,,,,,,
2014-04-06,22,19.8,,47,,,,,,
2014-04-07,22.4,21.8,24.1,0,,,,,,
2014-04-08,21.4,19.3,,61,,,,,,
2014-04-09,19.6,15.2,24.9,0,,,,,,
2014-04-10,17.6,13,25.2,,,,,,,
2014-04-11,16.3,12,24.3,,,,,,,
2014-04-12,15.3,,21,,,,,,,
2014-04-13,13.1,10.9,16.5,,,,,,,
2014-04-14,13.1,7.5,,,,,,,,
2014-04-15,14.9,10.5,,,,,,,,
2014-04-16,18.7,14.1,,,,,,,,
2014-04-17,18.5,14.5,24.2,,,,,,,
2014-04-18,14.4,7.6,24.4,,,,,,,
2014-04-19,14.7,8.8,,,,,,,,
2014-04-20,16.6,12,23.6,,,,,,,
2014-04-21,18.8,14.5,,,,,,,,
2014-04-22,15.5,10,24.7,,,,,,,
2014-04-23,15.4,10.2,,,,,,,,
2014-04-24,16.1,10.8,,,,,,,,
2014-04-25,16.8,15.6,23.1,,,,,,,
2014-04-26,16.2,13.5,,,,,,,,
2014-04-27,18.1,15,,,,,,,,
2014-04-28,19.3,15.5,,3,,,,,,
2014-04-29,16.8,15.4,23.5,0,,,,,,
2014-04-30,17.4,16,,14,,,,,,
2014-05-01,16.9,12.6,,0,,,,,,
2014-05-02,16.9,12.9,,,,,,,,
2014-05-03,19.1,14.1,22.9,,,,,,,
2014-05-04,17.3,13.5,19.2,0.5,,,,,,
2014-05-05,15.4,,19.4,0,,,,,,
2014-05-06,17,15,19.2,,,,,,,
2014-05-07,17.3,14.5,,,,,,,,
2014-05-08,15.3,11.9,21.8,,,,,,,
2014-05-09,15.4,11.6,,,,,,,,
2014-05-10,17.6,12.6,,,,,,,,
2014-05-11,16.6,14.7,21.6,4.1,,,,,,
2014-05-12,16.6,15.2,,7.1,,,,,,
2014-05-13,17,13.5,,1,,,,,,
2014-05-14,17.3,14,22.8,0,,,,,,
2014-05-15,17.9,14.9,20.7,52.1,,,,,,
2014-05-16,14.7,11.5,20.4,0,,,,,,
2014-05-17,14.6,9.5,18.2,3,,,,,,
2014-05-18,12.6,7.5,,0,,,,,,
2014-05-19,13.4,10.2,18.3,3,,,,,,
2014-05-20,12,9.6,17,0,,,,,,
2014-05-21,12.8,11.4,14.4,43.9,,,,,,
2014-05-22,11.2,9.4,14.3,20.1,,,,,,
2014-05-23,9.4,5.2,14,0.3,,,,,,
2014-05-24,10,5.2,,0,,,,,,
2014-05-25,11.9,7.2,,,,,,,,
2014-05-26,12.1,7.2,18.3,,,,,,,
2014-05-27,10.7,6,17.8,,,,,,,
2014-05-28,12.1,7.9,,,,,,,,
2014-05-29,14.2,10.6,,,,,,,,
2014-05-30,15.6,13.6,18.1,0,,,,,,
2014-05-31,15.1,,,0,,,,,,
2014-06-01,12.7,7,,,,,,,,
2014-06-02,13.3,8.2,21.1,,,,,,,
2014-06-03,14.5,10.8,21,,,,,,,
2014-06-04,14.3,11.7,19,,,,,,,
2014-06-05,12.5,8.2,,,,,,,,
2014-06-06,10.9,4.9,16.8,,,,,,,
2014-06-07,13.2,6.8,16.5,4.1,,,,,,
2014-06-08,10.2,4.4,,1,,,,,,
2014-06-09,14.2,6.6,,0,,,,,,
2014-06-10,13.7,9.4,20.2,,,,,,,
2014-06-11,14.6,12.5,19.5,1,,,,,,
2014-06-12,17.2,13,,20.1,,,,,,
2014-06-13,10.7,7,21,23.1,,,,,,
2014-06-14,7.8,3.5,14.7,0,,,,,,
2014-06-15,11.9,4,,,,,,,,
2014-06-16,13.9,10.4,,1,,,,,,
2014-06-17,9.3,5.4,18.8,0,,,,,,
2014-06-18,8.2,4.2,14.4,,,,,,,
2014-06-19,6.7,1.4,,,,,,,,
2014-06-20,10.8,2.2,,,,,,,,
2014-06-21,11.8,7.8,17.5,,,,,,,
2014-06-22,14.2,10.8,,0,,,,,,
2014-06-23,15.5,13.1,,0.3,,,,,,
2014-06-24,12.6,7.8,18.2,4.1,,,,,,
2014-06-25,10.6,7.1,17,0,,,,,,
2014-06-26,11.2,6.9,,,,,,,,
2014-06-27,10.4,5.5,,,,,,,,
2014-06-28,9.1,3.4,18,,,,,,,
2014-06-29,8.2,4.3,17.8,,,,,,,
2014-06-30,8.7,4.8,14.6,,,,,,,
2014-07-01,7.4,3.2,15,,,,,,,
2014-07-02,9.2,4.2,,,,,,,,
2014-07-03,12.6,4.2,,,,,,,,
2014-07-04,9.5,5.6,18.9,,,,,,,
2014-07-05,13.3,6.4,15.4,4.1,,,,,,
2014-07-06,,,,,,,,,,
2014-07-07,11.8,5.2,,0.3,,,,,,
2014-07-08,10.3,5.9,18.7,0,,,,,,
2014-07-09,10.7,6,,,,,,,,
2014-07-10,11.8,7.5,15.4,,,,,,,
2014-07-11,13.1,11.3,15.6,,,,,,,
2014-07-12,14.2,12.6,16,,,,,,,
