"","estacion","inauguracion"
"1","11 DE SEPTIEMBRE","2019-06-04"
"2","15 DE NOVIEMBRE","2017-02-24"
"3","25 DE MAYO","2015-07-15"
"4","33 ORIENTALES","2016-09-20"
"5","9 DE JULIO","2017-02-21"
"6","ACEVEDO","2017-01-20"
"7","ACUÑA DE FIGUEROA","2017-02-23"
"8","ACUÑA DE FIGUEROA Y POTOSI","2019-05-28"
"9","ADUANA","2010-12-30"
"10","AGRONOMIA","2019-05-29"
"11","AGRONOMIA II","2019-05-21"
"12","AGUERO","2016-01-21"
"13","AIME PAINE","2017-01-03"
"14","ALLENDE","2022-08-29"
"15","ALSINA","2012-11-12"
"16","AMANCIO ALCORTA","2019-05-29"
"17","AMENABAR","2022-06-06"
"18","ANDONAEGUI","2019-06-05"
"19","ARANGUREN","2017-08-09"
"20","ARANGUREN Y SEGUI","2019-06-04"
"21","ARAOZ","2016-06-07"
"22","ARENALES","2012-10-24"
"23","ARENALES Y AGUERO","2017-07-29"
"24","ARMENIA","2017-03-24"
"25","ARMENIA Y GORRITI","2017-05-27"
"26","ARREGUI Y TERRADA","2019-05-25"
"27","ARRIBEÑOS","2019-06-02"
"28","ARTIGAS Y MELINCUE","2019-05-30"
"29","AUSTRIA Y FRENCH","2017-08-22"
"30","AV. LA PLATA","2019-05-30"
"31","AV. PAVON Y 33 ORIENTALES","2017-07-27"
"32","AVELINO DIAZ","2016-09-16"
"33","AVENIDA CRAMER","2022-06-18"
"34","AVENIDA TRIUNVIRATO","2019-06-06"
"35","AYACUCHO","2016-01-14"
"36","AZOPARDO Y CHILE","2017-05-22"
"37","AZUCENA VILLAFLOR","2016-11-24"
"38","BAIGORRIA","2022-06-06"
"39","BALBIN","2019-05-28"
"40","BALCARCE","2016-06-06"
"41","BALDOMERO","2019-05-18"
"42","BARRANCAS DE BELGRANO","2019-05-18"
"43","BARRIO 31","2019-07-03"
"44","BASUALDO Y RODO","2019-05-10"
"45","BEAUCHEF","2019-05-16"
"46","BEIRO","2019-06-08"
"47","BEIRO Y SAN MARTIN","2019-05-16"
"48","BEIRO Y SEGUROLA","2021-10-17"
"49","BELAUSTEGUI","2019-06-05"
"50","BELGRANO","2015-09-30"
"51","BELGRANO Y ROCA","2019-05-29"
"52","BENITO JUAREZ","2019-02-26"
"53","BERG",NA
"54","BIARRITZ","2019-05-25"
"55","BILLINGHURST","2016-06-09"
"56","BILLINGHURST Y MANSILLA","2017-04-25"
"57","BILLINGHURST Y VALENTIN GOMEZ","2017-05-19"
"58","BOEDO Y VENEZUELA","2019-05-23"
"59","BONIFACIO","2019-05-19"
"60","BONIFACIO Y CARABOBO","2019-05-18"
"61","BOUCHARD","2016-07-20"
"62","BRASIL","2017-04-16"
"63","BUENOS AIRES","2019-10-20"
"64","CABELLO","2017-03-31"
