fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-01,Enero,2021,Línea 1,Prepago,39122
2021-01-01,Enero,2021,Línea 1,Gratuidad,3528
2021-01-01,Enero,2021,Línea 2,Prepago,23669
2021-01-01,Enero,2021,Línea 2,Gratuidad,2532
2021-01-01,Enero,2021,Línea 3,Prepago,18229
2021-01-01,Enero,2021,Línea 3,Gratuidad,2735
2021-01-01,Enero,2021,Línea 4,Prepago,6907
2021-01-01,Enero,2021,Línea 4,Gratuidad,849
2021-01-01,Enero,2021,Línea 5,Prepago,31429
2021-01-01,Enero,2021,Línea 5,Gratuidad,4170
2021-01-01,Enero,2021,Línea 6,Prepago,26455
2021-01-01,Enero,2021,Línea 6,Gratuidad,2887
2021-01-01,Enero,2021,Línea 7,Prepago,21366
2021-01-01,Enero,2021,Línea 7,Gratuidad,452
2021-01-02,Enero,2021,Línea 1,Prepago,86300
2021-01-02,Enero,2021,Línea 1,Gratuidad,6290
2021-01-02,Enero,2021,Línea 2,Prepago,47200
2021-01-02,Enero,2021,Línea 2,Gratuidad,4263
2021-01-02,Enero,2021,Línea 3,Prepago,38581
2021-01-02,Enero,2021,Línea 3,Gratuidad,4719
2021-01-02,Enero,2021,Línea 4,Prepago,33964
2021-01-02,Enero,2021,Línea 4,Gratuidad,1415
2021-01-02,Enero,2021,Línea 5,Prepago,59236
2021-01-02,Enero,2021,Línea 5,Gratuidad,7235
2021-01-02,Enero,2021,Línea 6,Prepago,49620
2021-01-02,Enero,2021,Línea 6,Gratuidad,4752
2021-01-02,Enero,2021,Línea 7,Prepago,38992
2021-01-02,Enero,2021,Línea 7,Gratuidad,768
2021-01-03,Enero,2021,Línea 1,Prepago,65834
2021-01-03,Enero,2021,Línea 1,Gratuidad,5105
2021-01-03,Enero,2021,Línea 2,Prepago,38107
2021-01-03,Enero,2021,Línea 2,Gratuidad,3785
2021-01-03,Enero,2021,Línea 3,Prepago,30537
2021-01-03,Enero,2021,Línea 3,Gratuidad,4046
2021-01-03,Enero,2021,Línea 4,Prepago,18286
2021-01-03,Enero,2021,Línea 4,Gratuidad,1229
2021-01-03,Enero,2021,Línea 5,Prepago,50273
2021-01-03,Enero,2021,Línea 5,Gratuidad,6553
2021-01-03,Enero,2021,Línea 6,Prepago,40948
2021-01-03,Enero,2021,Línea 6,Gratuidad,4114
2021-01-03,Enero,2021,Línea 7,Prepago,31156
2021-01-03,Enero,2021,Línea 7,Gratuidad,514
2021-01-04,Enero,2021,Línea 1,Prepago,166332
2021-01-04,Enero,2021,Línea 1,Gratuidad,10498
2021-01-04,Enero,2021,Línea 2,Prepago,78259
2021-01-04,Enero,2021,Línea 2,Gratuidad,6460
2021-01-04,Enero,2021,Línea 3,Prepago,64766
2021-01-04,Enero,2021,Línea 3,Gratuidad,8055
2021-01-04,Enero,2021,Línea 4,Prepago,42319
2021-01-04,Enero,2021,Línea 4,Gratuidad,1791
2021-01-04,Enero,2021,Línea 5,Prepago,89409
2021-01-04,Enero,2021,Línea 5,Gratuidad,10214
2021-01-04,Enero,2021,Línea 6,Prepago,83404
2021-01-04,Enero,2021,Línea 6,Gratuidad,8420
2021-01-04,Enero,2021,Línea 7,Prepago,59301
2021-01-04,Enero,2021,Línea 7,Gratuidad,887
2021-01-05,Enero,2021,Línea 1,Prepago,170341
2021-01-05,Enero,2021,Línea 1,Gratuidad,10007
2021-01-05,Enero,2021,Línea 2,Prepago,82328
2021-01-05,Enero,2021,Línea 2,Gratuidad,6118
2021-01-05,Enero,2021,Línea 3,Prepago,66817
2021-01-05,Enero,2021,Línea 3,Gratuidad,7572
2021-01-05,Enero,2021,Línea 4,Prepago,38969
2021-01-05,Enero,2021,Línea 4,Gratuidad,1694
2021-01-05,Enero,2021,Línea 5,Prepago,92794
2021-01-05,Enero,2021,Línea 5,Gratuidad,10008
2021-01-05,Enero,2021,Línea 6,Prepago,85178
2021-01-05,Enero,2021,Línea 6,Gratuidad,7965
2021-01-05,Enero,2021,Línea 7,Prepago,61179
2021-01-05,Enero,2021,Línea 7,Gratuidad,1165
2021-01-06,Enero,2021,Línea 1,Prepago,157109
