fecha,anio,mes,linea,afluencia
2005-07-26,2005,Julio,Línea 1,3032667
2005-07-26,2005,Julio,Línea 5,NaN
2005-07-26,2005,Julio,Línea 2,NaN
2005-07-26,2005,Julio,Línea 3,NaN
2005-07-26,2005,Julio,Línea 6,NaN
2005-07-26,2005,Julio,Línea 7,NaN
2005-07-26,2005,Julio,Línea 4,NaN
2005-07-27,2005,Julio,Línea 1,230465
2005-07-27,2005,Julio,Línea 6,NaN
2005-07-27,2005,Julio,Línea 3,NaN
2005-07-27,2005,Julio,Línea 2,NaN
2005-07-27,2005,Julio,Línea 5,NaN
2005-07-27,2005,Julio,Línea 7,NaN
2005-07-27,2005,Julio,Línea 4,NaN
2005-07-28,2005,Julio,Línea 5,NaN
2005-07-28,2005,Julio,Línea 2,NaN
2005-07-28,2005,Julio,Línea 3,NaN
2005-07-28,2005,Julio,Línea 1,237296
2005-07-28,2005,Julio,Línea 4,NaN
2005-07-28,2005,Julio,Línea 6,NaN
2005-07-28,2005,Julio,Línea 7,NaN
2005-07-29,2005,Julio,Línea 4,NaN
2005-07-29,2005,Julio,Línea 2,NaN
2005-07-29,2005,Julio,Línea 1,258356
2005-07-29,2005,Julio,Línea 5,NaN
2005-07-29,2005,Julio,Línea 3,NaN
2005-07-29,2005,Julio,Línea 6,NaN
2005-07-29,2005,Julio,Línea 7,NaN
2005-07-30,2005,Julio,Línea 5,NaN
2005-07-30,2005,Julio,Línea 1,159470
2005-07-30,2005,Julio,Línea 3,NaN
2005-07-30,2005,Julio,Línea 6,NaN
2005-07-30,2005,Julio,Línea 7,NaN
2005-07-30,2005,Julio,Línea 2,NaN
2005-07-30,2005,Julio,Línea 4,NaN
2005-07-31,2005,Julio,Línea 7,NaN
2005-07-31,2005,Julio,Línea 4,NaN
2005-07-31,2005,Julio,Línea 6,NaN
2005-07-31,2005,Julio,Línea 3,NaN
2005-07-31,2005,Julio,Línea 1,104834
2005-07-31,2005,Julio,Línea 2,NaN
2005-07-31,2005,Julio,Línea 5,NaN
2005-08-01,2005,Agosto,Línea 4,NaN
2005-08-01,2005,Agosto,Línea 5,NaN
2005-08-01,2005,Agosto,Línea 3,NaN
2005-08-01,2005,Agosto,Línea 2,NaN
2005-08-01,2005,Agosto,Línea 6,NaN
2005-08-01,2005,Agosto,Línea 7,NaN
2005-08-01,2005,Agosto,Línea 1,262284
2005-08-02,2005,Agosto,Línea 1,231380
2005-08-02,2005,Agosto,Línea 7,NaN
2005-08-02,2005,Agosto,Línea 4,NaN
2005-08-02,2005,Agosto,Línea 2,NaN
2005-08-02,2005,Agosto,Línea 5,NaN
2005-08-02,2005,Agosto,Línea 6,NaN
2005-08-02,2005,Agosto,Línea 3,NaN
2005-08-03,2005,Agosto,Línea 6,NaN
2005-08-03,2005,Agosto,Línea 7,NaN
2005-08-03,2005,Agosto,Línea 1,255913
2005-08-03,2005,Agosto,Línea 2,NaN
2005-08-03,2005,Agosto,Línea 5,NaN
2005-08-03,2005,Agosto,Línea 4,NaN
2005-08-03,2005,Agosto,Línea 3,NaN
2005-08-04,2005,Agosto,Línea 7,NaN
2005-08-04,2005,Agosto,Línea 4,NaN
2005-08-04,2005,Agosto,Línea 3,NaN
2005-08-04,2005,Agosto,Línea 1,262391
2005-08-04,2005,Agosto,Línea 6,NaN
2005-08-04,2005,Agosto,Línea 5,NaN
2005-08-04,2005,Agosto,Línea 2,NaN
2005-08-05,2005,Agosto,Línea 5,NaN
2005-08-05,2005,Agosto,Línea 3,NaN
2005-08-05,2005,Agosto,Línea 1,255451
2005-08-05,2005,Agosto,Línea 6,NaN
2005-08-05,2005,Agosto,Línea 7,NaN
2005-08-05,2005,Agosto,Línea 2,NaN
2005-08-05,2005,Agosto,Línea 4,NaN
2005-08-06,2005,Agosto,Línea 3,NaN
2005-08-06,2005,Agosto,Línea 7,NaN
2005-08-06,2005,Agosto,Línea 5,NaN
2005-08-06,2005,Agosto,Línea 6,NaN
2005-08-06,2005,Agosto,Línea 4,NaN
2005-08-06,2005,Agosto,Línea 1,150359
2005-08-06,2005,Agosto,Línea 2,NaN
2005-08-07,2005,Agosto,Línea 7,NaN
2005-08-07,2005,Agosto,Línea 5,NaN
2005-08-07,2005,Agosto,Línea 6,NaN
2005-08-07,2005,Agosto,Línea 3,NaN
2005-08-07,2005,Agosto,Línea 2,NaN
2005-08-07,2005,Agosto,Línea 4,NaN
2005-08-07,2005,Agosto,Línea 1,92772
2005-08-08,2005,Agosto,Línea 7,NaN
2005-08-08,2005,Agosto,Línea 5,NaN
2005-08-08,2005,Agosto,Línea 6,NaN
2005-08-08,2005,Agosto,Línea 3,NaN
2005-08-08,2005,Agosto,Línea 1,243225
2005-08-08,2005,Agosto,Línea 2,NaN
2005-08-08,2005,Agosto,Línea 4,NaN
2005-08-09,2005,Agosto,Línea 4,NaN
2005-08-09,2005,Agosto,Línea 5,NaN
2005-08-09,2005,Agosto,Línea 3,NaN
2005-08-09,2005,Agosto,Línea 7,NaN
2005-08-09,2005,Agosto,Línea 2,NaN
2005-08-09,2005,Agosto,Línea 6,NaN
2005-08-09,2005,Agosto,Línea 1,231392
2005-08-10,2005,Agosto,Línea 5,NaN
2005-08-10,2005,Agosto,Línea 2,NaN
2005-08-10,2005,Agosto,Línea 7,NaN
2005-08-10,2005,Agosto,Línea 1,266176
2005-08-10,2005,Agosto,Línea 3,NaN
2005-08-10,2005,Agosto,Línea 6,NaN
2005-08-10,2005,Agosto,Línea 4,NaN
2005-08-11,2005,Agosto,Línea 1,237619
2005-08-11,2005,Agosto,Línea 3,NaN
2005-08-11,2005,Agosto,Línea 2,NaN
2005-08-11,2005,Agosto,Línea 5,NaN
2005-08-11,2005,Agosto,Línea 6,NaN
2005-08-11,2005,Agosto,Línea 4,NaN
2005-08-11,2005,Agosto,Línea 7,NaN
2005-08-12,2005,Agosto,Línea 7,NaN
2005-08-12,2005,Agosto,Línea 3,NaN
2005-08-12,2005,Agosto,Línea 1,266437
2005-08-12,2005,Agosto,Línea 5,NaN
2005-08-12,2005,Agosto,Línea 6,NaN
2005-08-12,2005,Agosto,Línea 2,NaN
2005-08-12,2005,Agosto,Línea 4,NaN
2005-08-13,2005,Agosto,Línea 7,NaN
2005-08-13,2005,Agosto,Línea 5,NaN
2005-08-13,2005,Agosto,Línea 6,NaN
2005-08-13,2005,Agosto,Línea 1,166912
2005-08-13,2005,Agosto,Línea 2,NaN
2005-08-13,2005,Agosto,Línea 4,NaN
2005-08-13,2005,Agosto,Línea 3,NaN
2005-08-14,2005,Agosto,Línea 1,101768
2005-08-14,2005,Agosto,Línea 2,NaN
2005-08-14,2005,Agosto,Línea 5,NaN
2005-08-14,2005,Agosto,Línea 3,NaN
2005-08-14,2005,Agosto,Línea 6,NaN
2005-08-14,2005,Agosto,Línea 7,NaN
2005-08-14,2005,Agosto,Línea 4,NaN
